word;transcription;translation;success_number;learning_date
figure out;ˈfɪɡə(r) aʊt;понимать, вычислять;0;
fine detail;faɪn  ˈdiːteɪl;тонкая деталь;0;
flat washer;flæt ˈwɒʃ.ər;плоская шайба;0;
fluorine (F);ˈflʊəriːn;фтор;0;
free radical;friː ˈradɪk(ə)l;свободный радикал;0;
ground state;graʊnd steɪt;основное состояние;0;
growth rate;ɡroʊθ reɪt;скорость роста;0;
helium;ˈhiːlɪəm;гелий;0;
heterogeneity formation;hɛtərəʊʤɪˈniːɪti fɔːˈmeɪʃən;образование гетерогенности;0;
high fidelity;haɪ fɪˈdel.ə.ti;высоко вероятный;0;
high resolution;haɪ rɛzəˈluːʃ(ə)n;высокое разрешение;0;
holder;ˈhəʊldə;держатель;0;
hone;həʊn;оттачивать;0;
inception;ɪnˈsɛpʃən;отправная точка;0;
insulating;ˈɪnsjʊleɪtɪŋ;изоляционный;0;
integrated;ˈɪntɪɡreɪtɪd;интегральные;0;
interconnect;ˌɪn.tə.kəˈnekt;связывать;0;
intermediary composition;ˌɪntəˈmiːdɪərɪ ˌkɒmpəˈzɪʃən;промежуточный состав;0;
intracellular vesicle;ˌɪntrəˈseljʊlə ˈvesɪk(ə)l;внутриклеточная везикула;0;
junction;'ʤʌŋkʃ(ə)n;соединение;0;
latency;ˈleɪtənsi;задержка;0;
lattice;ˈlætɪs;решетка;0;
lithium (Li);ˈlɪθɪəm;литий;0;
low-dimensional;ləʊ-dɪˈmɛnʃənl;маломерный;0;
mapping;ˈmæp.ɪŋ;отображение;0;
membrane pore;ˈmembreɪn ˈpɔː;мембранная пора;0;
microscopy;maɪˈkrɒskəpi;микроскопия;0;
mode;məʊd;мода;0;
monitor;ˈmɒnɪtə;контролировать;0;
non-deterministic;nɔn dɪ.tɜː.mɪˈnɪs.tɪk;определенный;0;
nonlinear;nɒnˈlɪnɪə;нелинейный;0;
nuclear magnetic resonance;ˈnjuːkliə(r)  mæɡˈnetɪk  ˈrezənəns;ядерный магнитный резонанс;0;
obtain;əbˈteɪn;получение;0;
oscillations;ˌɒsɪˈleɪʃənz;колебания;0;
overarching goal;ˌəʊ.vəˈrɑː.tʃɪŋ ɡəʊl;общая цель;0;
overlap;ˌəʊvəˈlæp;перекрывать;0;
paramagnetic species;parəmaɡˈnɛtɪk ˈspiːʃiːz;парамагнитные центры;0;
permanence;pɜːmənəns;постоянство, неизменность, прочность;0;
photochemical;fəʊtə(ʊ)ˈkɛmɪk(ə)l;фотохимический;0;
plating;pleɪt;покрытие металлическими пластинами (процесс);0;
polarizer;ˈpəʊləˌraɪz;поляризатор;0;
presume;prɪˈzjuːm;подразумевать;0;
presurgical;priː sɜːʤɪkəl;предоперационный;0;
probabilistic;prɒbəbɪˈlɪstɪk;вероятностный;0;
prove;pruːv;доказывать, подтверждать;0;
quadrupole;ʹkwɒdrʋpəʋl;квадрупольный;0;
quasi-one dimensional;ˈkweɪsaɪ wʌn dɪˈmenʃənl;квази-одномерный;0;
quasiparticle;ˈkweɪsaɪpɑːtɪklɪ;квазичастица;0;
radiation;reɪdɪˈeɪʃn;излучение;0;
refractive index;rɪˈfræktɪv  ˈɪndeks;показатель преломления;0;
repetition rate;repɪˈtɪʃn reɪt;частота повторения;0;
resolution;ˌrezəˈluːʃən;разрешение;0;
reveal;rɪˈviːl;выявлять, показывать, раскрывать;0;
rigid;ˈrɪdʒ.ɪd;жёсткий;0;
rival;ˈraɪvl;соперник;0;
sample;ˈsæmpl;образец;0;
semiconductor;ˌsem.i.kənˈdʌk.tər;полупроводник;0;
sequence;ˈsiːkwəns;последовательность;0;
single crystal;ˈsɪŋɡəl ˈkrɪstl;монокристалл;0;
solvation;sɑlˈveɪʃən;сольватация;0;
spatial resolution;ˈspeɪʃəl ˌrɛzəˈluːʃən;пространственное разрешение;0;
spectrophotometer;ˌspɛktrəʊfəʊˈtɒmɪtə;спектрофотометр;0;
spill;spɪl;разлив, (гл.) проливать;0;
spin density wave;spɪn ˈdensɪtɪ weɪv;волны спиновой плотности;0;
spin–lattice;spɪn ˈlætɪs;спин-решетка;0;
standard deviation;ˈstændəd ˌdiːviˈeɪʃn;стандартное отклонение;0;
stochastic;stəˈkæs.tɪk;стохастический;0;
stress;stres;напряженность;0;
strontium (Sr);ˈstrɒntɪəm;стронции;0;
struggle;strʌgl;пытаться изо всех сил;0;
sub-micron;sʌb ˈmaɪ.krɒn;сверхтонкий;0;
substitution;ˌsʌbstɪˈtjuːʃən;замещение;0;
substrate;ˈsʌb.streɪt;основание;0;
supercoiled;ˈs(j)uːpəkɔɪld;суперскрученный;0;
superimpose;suːpərɪmˈpəʊz;накладывать;0;
superposition;suːpəˈpəziʃ(ə)n;суперпозиция, наложение, совмещение;0;
surface;ˈsɜːfɪs;поверхность, поверхностный;0;
surgery;ˈsɜːdʒəri;хирургия;0;
susceptibility;səˌsɛptəˈbɪlɪti;чувствительность;0;
synaptic gap;sɪnˈæptɪk gæp;синаптическая щель;0;
technique;tekˈniːk;метод;0;
the extinction;ði: ɪkˈstɪŋkʃən;исчезновение;0;
thickness;θɪknɪs;толщина;0;
to adjust;tu əˈʤʌst;регулировать;0;
to be uncracked;tə bi ʌnˈkrækt;без трещин;0;
to ensure;tə ɪnˈʃʊə(r);обеспечивать;0;
to re-emit;rɪ ɪˈmɪt;переизлучать;0;
transient response;ˈtrænzɪənt rɪˈspɒns;переходной отклик.;0;
transition;tranˈzɪʃ(ə)n;переход;0;
transition metal ions;trænˈzɪʃn ˈmetl ˈaɪənz;ионы переходных металлов;0;
traversing;trəˈvɜːs;пересекающий;0;
tuning;ˈtjuːnɪŋ;настройка;0;
ultimately;ˈʌltɪmətli;в конечном итоге;0;
up-regulated;ʌp 'regjəleɪtɪd;усиленный;0;
vanadyl group;vəˈneɪdil ɡruːp;ванадиловая группа;0;
vapour;ˈveɪpə;пар;0;
variety;vəˈraɪəti;разновидность, вид;0;
vesicle;'vesɪkl;везикула;0;
vessel;'ves(ə)l;кровеносный сосуд;0;
virus;ˈvaɪrəs;вирус;0;
wave;weɪv;волна;0;
weathering;ˈweðərɪŋ;выветривание, испарение, эрозия, слив;0;
widespread;ˈwaɪdsprɛd;широко распространённый;0;
