word;transcription;translation;success_number;learning_date
crossover;ˈkrɒsəʊvər;переезд, переход, переход в другую партию;-1;
crystalline;ˈkrɪstəlaɪn;кристаллический, прозрачный, хрустальный;3;
crystallization;ˌkrɪstəlaɪˈzeɪʃn;кристаллизация;0;
cuboid;ˈkjuːbɔɪd;кубоид, кубовидный;2;
curvature;ˈkɜːvətʃər;кривизна, искривление, изгиб;2;
cutoff;ˈkʌtɒf;отсечка, прекращение, отрезанный кусок;5;2021-06-10
data acquisition;ˈdeɪtə ˌækwɪˈzɪʃən;получение данных;2;
data augmentation;ˈdeɪtəˌɔːɡmenˈteɪʃn;увеличение данных;4;
data mining;ˈdeɪtə maɪnɪŋ;сбор данных, анализ данных;2;
dataset entry;ˈdeɪtəset ˈentri;запись в наборе данных;4;
daunt;dɔːnt;обескураживать, запугивать, устрашать;-4;
decipher;dɪˈsaɪfər;расшифровывать;4;
decomposition;diːkɔmpəˈzɪʃn;разложение, распад, гниение;1;
decrease;dɪˈkriːs;уменьшить, уменьшаться, уменьшать;3;
deduce;dɪˈdjuːs;выводить, делать вывод, прослеживать происхождение;2;
degeneracy;dɪˈʤenərəsɪ;вырождение, дегенерация, дегенеративность;0;
delimit;ˌdiːˈlɪmɪt;определять границы;2;
delineate;dɪˈlɪnieɪt;очерчивать, описывать, обрисовывать;4;
demand;dɪˈmɑːnd;требовать, нуждаться, спрашивать;1;
demixing;diːmɪksɪŋ;расслоение;0;
dense sampling;dens ˈsɑːmpl̩ɪŋ;плотная выборка;1;
density functional theory (DFT);ˈdensɪti ˈfʌŋkʃənəl ˈθɪəri;теория функционала плотности;3;
deny;dɪˈnaɪ;отрицать, отказывать, отвергать;2;
depict;dɪˈpɪkt;изображать, описывать, рисовать;5;2021-06-10
deploy;dɪˈplɔɪ;развертывание;3;
derivative;dɪˈrɪvətɪv;производное, производная, дериват;2;
descriptor;dɪˈskrɪptər;дескриптор;1;
detailed;ˈdiːteɪld;подробный;1;
determinant;dɪˈtɜːmɪnənt;определитель, детерминант;0;
deterministic;dɪtɜːmɪˈnɪstɪk;детерминированный;2;
detour;ˈdiːtɔːr;объезд, обход, окольный путь;-1;
devastating;ˈdevəsteɪtɪŋ;разрушительный, опустошительный;2;
devise;dɪˈvaɪz;разрабатывать, изобретать, придумывать;-1;
diagram;ˈdaɪəɡræm;схема, диаграмма, график;1;
diamond anvil;ˈdaɪəmənd ˈænvɪl;алмазная наковальня;0;
dielectric permittivity;daɪɪˈlektrɪk pɜːmɪˈtɪvɪtɪ;диэлектрическая проницаемость;3;
differentiable;ˌdɪfəˈrenʃəbl;дифференцируемый;2;
dihedral;daɪˈhiːdrəl;двугранный;0;
dimer;ˈdaɪmə;димер;2;
diminish effectiveness;dɪˈmɪnɪʃ ɪˈfektɪvnəs;снизить эффективность;2;
diode;ˈdaɪəʊd;диод;5;2021-06-10
discard event;dɪˈskɑːd ɪˈvent;отклонить событие;0;
discernible;dɪˈsɜːnɪbl̩;различимый, заметный, видимый;-2;
discontinuity;ˌdɪsˌkɒntɪˈnjuːəti;прерывность;2;
discriminate;dɪˈskrɪmɪneɪt;различать, дискриминировать, отличать;2;
disfavour;dɪsˈfeɪvər;немилость, неодобрение;-2;
disruptive;dɪsˈrʌptɪv;подрывной, разрушительный, пробивной;1;
dissipate;ˈdɪsɪpeɪt;рассеивать, рассеять, рассеиваться;1;
distinct;dɪˈstɪŋkt;особый, отдельный, отчетливый;-3;
distinguish;dɪˈstɪŋɡwɪʃ;различать;3;
distribution;ˌdɪstrɪˈbjuːʃn;распределение;2;
diverge;ˌdaɪˈvɜːdʒ;расходиться, отклоняться, отходить от нормы;0;
divergence;ˌdaɪˈvɜːdʒəns;расхождение, дивергенция, отклонение;-3;
diverse;daɪˈvɜːs;разнообразный, разный, иной;4;
doable;ˈduːəbl̩;выполнимый;4;
dodecahedron;ˌdəʊdekəˈhiːdrən;додекаэдр, двенадцатигранник;3;
domain;dəˈmeɪn;домен, область, сфера, владения;2;
downstream;ˌdaʊnˈstriːm;вниз по течению;0;
drag force;dræɡ fɔːs;сила сопротивления;2;
dramatically;drəˈmætɪkəli;резко;0;
draw on;drɔː on;опираться;-1;
draw sample;drɔː ˈsɑːmpl;взять образец;0;
drawback;ˈdrɔːbæk;недостаток, препятствие, помеха;-2;
due to …;djuː tə;связан с …;2;
dwarf;dwɔːf;приостанавливать рост, карлик, гном;0;
dwell;dwel;жить, обитать, останавливаться;3;
dynamic structure factor;daɪˈnæmɪk ˈstrʌktʃə(r) ˈfæktə(r);динамический структурный фактор;1;
dynamics;daɪˈnæmɪks;динамика;1;
eclipse;ɪˈklɪps;затмение;5;2021-06-10
educational;ˌedʒuˈkeɪʃənl;полезный;3;
effort;ˈefət;усилие, напряжение;5;2021-06-10
either;ˈaɪðə(r);либо, или;-2;
ellipsis;ɪˈlɪpsɪs;многоточие;3;
elongated;ˈiːlɒŋɡeɪtɪd;удлиненный;2;
elusive phase;ɪˈluːsɪv feɪz;неуловимая фаза;4;
embedded data;ɪmˈbedɪd ˈdeɪtə;встроенные данные;-5;
embodiment;ɪmˈbɒdɪmənt;воплощение, олицетворение, слияние;0;
embody;ɪmˈbɒdi;воплощать, включать, олицетворять;3;
emerge;iˈmɜːdʒ;появляться, возникать, выходить;-1;
empirical risk function;ɪmˈpɪrɪkəl rɪsk ˈfʌŋkʃn;эмпирическая функция риска;0;
employ;ɪmˈplɔɪ;использовать, применять;1;
emulate a model;ˈemjʊleɪt ə ˈmɒdl;подражать модели;-1;
emulsion;ɪˈmʌlʃən;эмульсия;3;
enable;ɪˈneɪbl;разрешать, давать возможность, делать возможным;-1;
encapsulate;ɪnˈkæpsjʊleɪt;инкапсулировать, заключать в капсулу, выражать в краткой форме;4;
encompass;ɪnˈkʌmpəs;заключать в себе, окружать;-2;
encounter;ɪnˈkaʊntə(r);столкновение, схватка, стычка;-4;
encourage;ɪnˈkʌrɪdʒ;поощрять, поддерживать, ободрять;3;
energy basin;ˈenədʒi ˈbeɪsən;энергетический бассейн;1;
energy deposit;ˈenədʒi dɪˈpɒzɪt;скопление энергии;5;2021-06-10
energy harvesting;ˈenədʒi ˈhɑːvɪstɪŋ;урожай, сбор;4;
engagement;ɪnˈɡeɪdʒmənt;взаимодействие;5;2021-06-10
engineer;ˌendʒɪˈnɪə(r);проектировать;-2;
enhance learning;ɪnˈhɑːns ˈlɜːnɪŋ;улучшить обучение;1;
ensemble;ɒnˈsɒmbl̩;ансамбль;5;2021-06-10
entail;ɪnˈteɪl;влечь за собой;-4;
entanglement;ɪnˈtæŋɡl̩mənt;запутанность, запутывание, заграждение;3;
enthalpy;enˈθælpɪ;энтальпия, теплосодержание;4;
entropy;ˈentrəpi;энтропия;4;
environment;ɪnˈvaɪrənmənt;среда, окружающая среда, окружение;0;
epitaxial;ɛpɪˈtæksɪəl;эпитаксиальный;2;
equilibration;iːkwɪlaɪˈbreɪʃn;уравновешивание;3;
equilibrium;ˌiːkwɪˈlɪbriəm;равновесие;1;
equipartition;ˌiːkwɪpɑːˈtɪʃən;равнораспределение;2;
ergodicity;ˈɜːɡəʊˈdɪsəti;эргодичность;3;
error;ˈerə(r);погрешность, ошибка, заблуждение;4;
essential;ɪˈsenʃl;существенный, основной, необходимый;-1;
essentially;ɪˈsenʃəli;по существу, существенным образом;-1;
estimate;ˈestɪmət;оценка;0;
eutectic;juːˈtɛktɪk;эвтектика;5;2021-06-10
evade;ɪˈveɪd;уклоняться, увернуться, избегать;-1;
evaluation;ɪˌvæljuˈeɪʃən;оценка, определение количества;1;
eventually;ɪˈventʃuəli;в конечном счете, в конце концов;-1;
ever-expanding;ˈevər-ɪkˈspændɪŋ;постоянно расширяющийся;2;
evolving system;ɪˈvɒlvɪŋ ˈsɪstəm;развивающаяся система;-3;
exceedingly;ɪkˈsiːdɪŋli;чрезвычайно, очень, крайне;-3;
exemplary system;ɪɡˈzempləri ˈsɪstəm;образцовая система;0;
exhaustive;ɪɡˈzɔːstɪv;исчерпывающий, истощающий;3;
explicit function;ɪkˈsplɪsɪt ˈfʌŋkʃn;явная функция;2;
exploit;ɪkˈsplɔɪt;эксплуатировать, разрабатывать;3;
exponent;ɪkˈspəʊnənt;экспонента, показатель степени, экспонент;5;2021-06-10
expose;ɪkˈspəʊz;подвергать, разоблачать, выставлять;0;
extensive;ɪkˈstensɪv;обширный, экстенсивный, пространный;3;
extent;ɪkˈstent;экстент, степень, размер;5;2021-06-10
extrapolate;ɪkˈstræpəleɪt;экстраполировать;2;
extremely;ɪkˈstriːmli;чрезвычайно;3;
facilitate;fəˈsɪlɪteɪt;способствовать, содействовать, облегчать;-2;
facility;fəˈsɪləti;объект, установка, сооружение, средство;0;
fairness;ˈfeənəs;справедливость, честность, чистота;5;2021-06-10
fast-paced;fɑːst peɪst;стремительный;0;
favour;ˈfeɪvə(r);одолжение, благосклонность, расположение;2;
fcc (face centered cubic) lattice;feɪs ˈsentərd ˈkjuːbɪk ˈlætɪs;гранецентрированная кубическая решётка;1;
feature;ˈfiːtʃə(r);признак;5;2021-06-10
featuring;ˈfiːtʃə(r)ɪŋ;с участием;2;
feed-forward;fiːd ˈfɔːwəd;прямая связь;3;
feed-forward neural network (FFNN);fiːd ˈfɔːwəd ˈnjʊərəl ˈnetwɜːk;нейронная сеть прямого распространения;5;2021-06-10
fertilization;fɜːtɪlaɪˈzeɪʃn;обогащение, оплодотворение, опыление, удобрение почвы;2;
firmware;ˈfɜːmweər;прошивка;0;
flatten;ˈflætən;выравнивать, расплющить;-4;
flourish;ˈflʌrɪʃ;процветать, расцветать, преуспевать;-4;
flow chart;fləʊ tʃɑːt;блок-схема;2;
fluctuation;ˌflʌktʃuˈeɪʃn;колебание, флуктуация;2;
folding;ˈfəʊldɪŋ;сворачивание;4;
for the sake of;fə(r) ðə seɪk əv;ради;2;
for what concerns;fə(r) wɒt kənˈsɜːns;что касается;1;
foreground object;ˈfɔːɡraʊnd ˈɒbdʒɪkt;объект переднего плана;1;
formaldehyde;fɔːˈmældɪhaɪd;формальдегид;2;
former;ˈfɔːmə;бывший;2;
foundation;faʊnˈdeɪʃn;фундамент, основы, основа;1;
free energy surface (FES);friː ˈenədʒi ˈsɜːfɪs;поверхность свободной энергии;2;
fruitful;ˈfruːtfəl;плодотворный, плодовитый, плодородный;5;2021-06-10
fulfil;fʊlˈfɪl;выполнять, исполнять, осуществлять;-2;
fully connected neural network;ˈfʊli kəˈnektɪd ˈnjʊərəl ˈnetwɜːk;полносвязная нейронная сеть;3;
gallium (Ga);ˈgælɪəm;галлий;0;
gather data;ˈɡæ(ə(r) ˈdeɪtə;собирать данные;2;
gauge;ɡeɪdʒ;калибровать;2;
generative;ˈdʒenərətɪv;генеративный, порождающий;1;
genuine;ˈdʒenjuɪn;подлинный;-1;
germanium (Ge);dʒəˈmeɪniəm;германий;4;
germanium telluride (GeTe);dʒəˈmeɪniəm teˈljʊraɪd;теллурид германия;2;
glassy;ˈɡlɑːsi;стеклянный, стекловидный, гладкий;3;
glider;ˈɡlaɪdər;планер;2;
gradient descent;ˈɡreɪdiənt dɪˈsent;градиентный спуск;0;
grasp;ɡrɑːsp;понять, осознать, схватывать;2;
ground truth;ɡraʊnd truːθ;истинность;1;
harness;ˈhɑːnəs;упряжь, сбруя, доспехи;-2;
have in mind;həv ɪn maɪnd;иметь в виду;4;
health care;helθ keə(r);здравоохранение;2;
hence;hens;следовательно, отсюда, с этих пор;1;
herein;ˌhɪəˈrɪn;здесь;2;
heterogeneous;ˌhetərəˈdʒiːniəs;гетерогенный, неоднородный, разнородный;2;
heuristic;hjʊˈrɪstɪk;эвристический;0;
hexagonal;hekˈsæɡənl;шестиугольный;-1;
hierarchical structure;ˌhaɪəˈrɑːkɪkl ˈstrʌktʃə(r);иерархическая структура;1;
hint;hɪnt;намек, совет, оттенок;0;
histogram;ˈhɪstəɡræm;гистограмма;1;
holonomic constraint;kənˈstreɪnt;голономная связь;5;2021-06-10
homogeneous;ˌhɒməˈdʒiːniəs;однородный, гомогенный;4;
hull;hʌl;корпус, остов, каркас;3;
hydrogen;ˈhaɪdrɪdʒən;водород;5;2021-06-10
hygroscopic;haɪgrəʊˈskəʊpɪk;гигроскопический;5;2021-06-10
hysteresis;ˌhɪstəˈriːsɪs;гистерезис, запаздывание фаз;5;2021-06-10
identity matrix;aɪˈdentəti ˈmeɪtrɪks;единичная матрица;3;
ie (id est) = that is;ðæt ɪz;то есть;1;
ill posed;ɪl pəʊzt;некорректно поставленные;2;
imaginary;ɪˈmædʒɪnəri;воображаемый, мнимый, нереальный;2;
impedance;ɪmˈpiːdəns;импеданс, полное сопротивление;3;
impede;ɪmˈpiːd;препятствовать, мешать, затруднять;3;
implementation;ˌɪmplɪmenˈteɪʃn;реализация;2;
implication;ˌɪmplɪˈkeɪʃn;причастность, подтекст, смысл;-1;
implicit function;ɪkˈsplɪsɪt ˈfʌŋkʃn;неявная функция;1;
imply;ɪmˈplaɪ;подразумевать, означать, предполагать;-2;
impose symmetry;ɪmˈpəʊz ˈsɪmətri;наложить симметрию;1;
imposing;ɪmˈpəʊzɪŋ;внушительный, импозантный, вальяжный;0;
improvement;ɪmˈpruːvmənt;улучшение, усовершенствование;2;
impurity;ɪmˈpjʊərəti;примесь;5;2021-06-10
in a nutshell;ɪn ə ˈnʌtʃel;в двух словах;0;
in a supervised fashion;ɪn ə ˈsuːpəvaɪzd ˈfæʃn;под присмотром;2;
in the long run;ɪn ðə lɒŋ rʌn;в долгосрочной перспективе;1;
in turn;ɪn tɜːn;в свою очередь;1;
in view of the foregoing;ɪn vjuː əv ðə fɔːˈgəʊɪŋ;в связи с вышеуказанным;1;
incommensurate phases;ɪnkəˈmenʃərɪt feɪzɪz;несоизмеримые фазы;-1;
inconsistency;ˌɪnkənˈsɪstənsi;несоответствие;-1;
incorporate;ɪnˈkɔːpəreɪt;объединять;0;
increase;ɪnˈkriːs;увеличивать, увеличиваться, расти;4;
increasingly;ɪnˈkriːsɪŋli;все больше и больше;-1;
incur;ɪnˈkɜːr;подвергаться, навлечь на себя, навлекать на себя;0;
indicative;ɪnˈdɪkətɪv;ориентировочный;2;
indispensable;ˌɪndɪˈspensəbl̩;незаменимый, необходимый;-2;
indium (In);ˈɪndiəm;индий;1;
inevitable;ɪnˈevɪtəbl;неизбежный, неминуемый, неизменный;-3;
infancy;ˈɪnfənsi;младенчество;0;
infer;ɪnˈfɜːr;делать вывод, заключать;4;
inference;ˈɪnfərəns;вывод, заключение;3;
inform the way;ɪnˈfɔːm ðə weɪ;определять подход;0;
inherent structure;ɪnˈherənt ˈstrʌktʃə(r);внутренняя структура;-1;
inhomogeneity;ɪnhəʊməʊdʒəˈniːəti;неоднородность;3;
