word,transcription,translation_x
aisle,aɪl,проход между рядами в самолете
all,ɔːl,все
allergy,ˈælədʒɪ,аллергия
allow,,разрешать
almost,,почти
along,,вместе
already,ɔːlˈredɪ,уже
also,ˈɔːlsəʊ,также
although,ɔːlˈðəʊ,хотя
always,ˈɔːlweɪz,всегда
ambitious,æmˈbɪʃəs,амбициозный
among,,среди
amount,,сумма
analysis,,анализ
ancient,ˈeɪnʃ(ə)nt,древний
and,ənd,и
angry,ˈæŋɡrɪ,сердитый
animal,,животное
annoying,əˈnɔɪɪŋ,раздражающий
another,,другой
answer,,ответ
ant,ænt,муравей
anxious,ˈæŋ(k)ʃəs,тревожный
any,ˈenɪ,несколько/некоторое количество/любой
anyone,,кто-нибудь
anything,,что-нибудь
appear,,появляться
apply,,подавать заявление
approach,,приближение
area,,местность
argue,,спор
arm,,рука
armchair,ˈɑːmtʃeə,кресло
around,,вокруг
arrival,əˈraɪvəl,прибытие
arrive,əˈraɪv,прибывать
art,ɑːrt,искусство
article,,статья
artist,ˈɑːtɪst,художник
as,,как
as,,в качестве
ask,,спрашивать
at,,на/в
attack,,атака
attention,,внимание
attorney,əˈtɜːnɪ,адвокат
attractive,əˈtræktɪv,привлекательный
aunt,ɑːnt,тетя
author,,автор
authority,,власть
autumn (AmE: fall),ˈɔːtəm/fɔːl,осень
available,,доступный
average,ˈæv(ə)rɪdʒ,средний
avoid,,избегать
away,,вне/далеко
away,,прочь
awful,ˈɔːfʊl,ужасный
baby,'beɪbɪ,малыш/младенец
back,,назад
back,,зад
bad,bæd,плохой
baked,beɪkt,запеченный
ball,,мяч
bank,bæŋk,банк
bar,,бар
bartender,ˈbɑːtendə,бармен
base,,база
base,,основа
basic,ˈbeɪsɪk,основной/базовый
bathroom,ˈbɑːθruːm,ванная
be,,быть
be (was/were – been),bɪ/wəz/wə(r)/biːn,быть
beach,biːtʃ,пляж
beans,beans,фасоль
bear,beə,медведь
beautiful,ˈbjuːtɪfʊl,красивый
because,bɪˈkəz,потому что/так как
because of,bɪˈkəz,из-за
become,,становиться
become (became – become),bɪˈkʌm/bɪˈkeɪm,становиться
bed,bed,кровать
bee,biː,пчела
beetroot,ɑ ˈbiːtruːt,свекла
before,bɪˈfɔːr,до/раньше/ранее/прежде чем
begin,,начинать
begin (began – begun),bɪˈɡɪn/bɪˈɡæn/bɪˈɡʌn,начинать
behaviour,,поведение
behind,bɪˈhaɪnd,сзади/позади/за
believe,,верить
bell pepper,ɑ bel ˈpepə,болгарский перец
benefit,,выгода
best,,лучший
better,,лучше
between,bɪˈtwiːn,между
beyond,,за/вне
big,bɪɡ,большой
bill,,счет
billion,,миллиард
birch,bɜːtʃ,береза
bird,bɜːd,птица
birthday,ˈbɜːθdeɪ,день рождения
biscuit (AmE: cookie),ˈbɪskɪt (eɪm: ˈkʊkɪ),печенье
bit,bɪt,немного/чуть-чуть/кусочек
bitter,ˈbɪtə,горький
black,blæk,черный
blizzard,ˈblɪzəd,метель
blogging,ˈblɒgɪŋ,ведение блога
blood,blʌd,кровь
blue,bluː,синий/голубой
board,,борт
board games,bɔːd geɪmz,настольные игры
boarding,ˈbɔːdɪŋ,посадка
boarding pass,ˈbɔːdɪŋ pɑːs,посадочный талон
body,,тело
boiled,bɔɪld,вареный
bone,bəʊn,кость
book,tuː bʊk,забронировать/книга
boots,buːts,бoтинки
boring,ˈbɔːrɪŋ,скучный
both,,оба
bowl,bəʊl,миска
box,,коробка
boy,bɔɪ,мальчик
bracelet,ˈbreɪslɪt,браслет
branch,brɑːn(t)ʃ,ветка
brave,breɪv,смелый
bread,bred,хлеб
break,,ломать
break (broke – broken),breɪk/brəʊk/ˈbrəʊk(ə)n,ломать
breakfast,ˈbrekfəst,завтрак
bright,braɪt,яркий
bring,,нести
brother,ˈbrʌðə,брат
brown,braʊn,коричневый
bruise,bruːz,синяк
build,,строить
building,ˈbɪldɪŋ,здание/постройка
bun,ɑ bʌn,булочка
bush,bʊʃ,куст
business,,бизнес
businessman/businesswoman (pl. businessmen/businesswomen),ˈbɪznɪsmən/ˈbɪznəsmen,бизнесмен
busy,ˈbɪzɪ,занятой
but,bət,но
butcher,ˈbʊtʃə,мясник
butter,ˈbʌtə,масло
buttocks,ˈbʌtəks,ягодицы
buy,,покупать
buy (bought – bought),baɪ/bɔːt,покупать
by,,s
bye,baɪ,пока
cabbage,ɑ ˈkæbɪʤ,капуста
café,ˈkæfeɪ,кафе
cake,ɑ keɪk,торт
call,,звать
call,,звонок
calm,kɑːm,спокойный
camera,,камера
campaign,,кампания
can,kən,уметь/мочь
candidate,,кандидат
car,,автомобиль
card,,карта
care,,забота
care,,заботиться
career,,карьера
careful,ˈkeəfʊl,осторожный
carpenter,ˈkɑːp(ə)ntə,плотник
carpet,ˈkɑːpɪt,ковер
carriage,ˈkærɪʤ,вагон
carrot,ɑ ˈkærət,морковь
carry,,нести
case,,случай
cat,kæt,кот/кошка
catch,,ловить
cause,,причина
ceiling,ˈsiːlɪŋ,потолок
cell,,клеточка
center,,центр
central,,центральный
centre (AmE: a center),ˈsentə/ˈsentər,центр (города)
century,ˈsentʃərɪ,век
certain,,определенный
certainly,,определенно
chair,tʃeə,стул
challenge,,испытание
chance,,шанс
change,tʃeɪn(d)ʒ,менять
character,,персонаж
charge,,заряжать
charming,ˈtʃɑːmɪŋ,очаровательный
check,tʃek,проверять
cheek,tʃiːk,щека
cheese,ʧiːz,сыр
chest,tʃest,грудь
chief,tʃiːf,руководитель/глава
child,,ребенок
child (pl. children),ʧaɪld,ребенок
chilly,ˈtʃɪlɪ,прохладно
chin,tʃɪn,подбородок
chocolate,ˈʧɒklɪt,шоколад
choice,,выбор
choose,,выбирать
choose (chose – chosen),tʃəʊz/tʃəʊz/ˈtʃəʊzn,выбирать
church,tʃɜːtʃ,церковь
cinema,ˈsɪnɪmə,кинотеатр
city,ˈsɪtɪ,город
claim,,требовать
class,,класс
clean,kliːn,чистый
clear,klɪə,ясно/чисто
clearly,,ясно
clever,ˈklevə,умный
client,ˈklaɪənt,клиент
climate,ˈklaɪmət,климат
close,kləʊz,закрывать/близкий
clumsy,ˈklʌmzɪ,неуклюжий
coach,kəʊtʃ,тренер
coast,kəʊst,морское побережье
coat,ˈkəʊt,пальтo
cockroach,ˈkɒkrəʊtʃ,таракан
coffee,ˈkɒfɪ,кофе
cold,kəʊld,холодный
colleague (AmE: a co-worker),ˈkɒliːɡ/kəʊˈwɜːkə,коллега/сотрудник
collect,tuː kəˈlekt,собирать/коллекционировать
college,ə ˈkɑːlɪdʒ,колледж/университет
color,,цвет
colourful,ˈkʌləfʊl,цветнoй
come,,приходить
comfortable,ˈkʌmf(ə)təb(ə)l,удобный
comfortable,ˈkʌmftəbl,удобный
common,ˈkɑːmən,обычный/общий
community,,сообщество
company,,компания
compare,,сравнивать
computer,,компьютер
concern,,беспокойство
condition,,состояние
conference,,конференция
confident,ˈkɒnfɪd(ə)nt,уверенный
consider,,рассматривать
contain,,состоять из
continue,kənˈtɪnjuː,продолжать
control,kənˈtrəʊl,контролировать
cook,kʊk,готовить
cook,tuː kʊk,готовить еду
cool,kuːl,прохладный
corn,kɔːn,кукуруза
cost,,стоимость
cost (cost – cost),kɒst,стоить
cough,kɒf,кашель
could,,мог
country,,страна
couple,,пара
course,,блюдо
course,,курс
court,,корт
cousin,ˈkʌz(ə)n,кузен/кузина
cover,,покрывать
cow,kaʊ,корова
craft,kræft,прикладное искусство/ремесло
crazy,ˈkreɪzɪ,сумасшедший
cream,kriːm,крем/сливки
create,,создавать
crime,,преступление
crowded,ˈkraʊdɪd,многолюдный
cruel,krʊəl,жестокий
cry,kraɪ,плакать
cultural,,культурный
culture,,культура
cup,,чашка
curious,ˈkjʊərɪəs,любопытный
current,ˈkɜːrənt,нынешний/текущий
curtain,ˈkɜːt(ə)n,штора
customs,ˈkʌstəmz,таможня
cut,,резать
cut (cut – cut),kʌt,резать
dad,dæd,папа
dairy,ˈdeərɪ,молочные продукты
daisy,ˈdeɪzɪ,маргаритка
dance,tuː dɑːns,танцевать
dangerous,ˈdeɪn(d)ʒ(ə)rəs,опасный
dark,dɑːk,темный
data,,данные
daughter,ˈdɔːtə,дочь
day,deɪ,день
day off,deɪ/ɒf,выходной
dead,,мертвый
deal,,сделка
deal,,дело
dear,dɪə,дорогой
death,,смерть
decade,,десятилетие
decide,,решать
decision,,решение
deed,,дело
defense,,защита
degree,,степень
delicious,dɪˈlɪʃəs,очень вкусный
delight,dɪˈlaɪt,удовольствие
delivery,dɪˈlɪvərɪ,доставка
democratic,,демократический
departure,dɪˈpɑːʧə,отбытие
describe,,описывать
design,,дизайн
designer,dɪˈzaɪnə,дизайнер
despite,,несмотря на
dessert,dɪˈzɜːt,десерт
destination,ɑ destɪˈneɪʃn,пункт назначения
detail,,деталь
determine,,определять
develop,,развивать
development,,развитие
diarrhea,ˌdaɪəˈrɪə,диарея
dictionary,ə ˈdɪkʃənerɪ,словарь
die,,умирать
difference,,разница
different,ˈdɪf(ə)r(ə)nt,другой/разный
difficult,ˈdɪfɪk(ə)lt,трудный/тяжелый/сложный
dinner,ˈdɪnə,ужин
direction,,направление
director,,директор
dirty,ˈdɜːtɪ,грязный
dirty,ˈdɜːrtɪ,грязный
discover,,исследовать
discuss,,обсуждать
disease,,болезнь
distress,dɪˈstres,страдание
divorced,dɪˈvɔːst,разведенный/разведенная
dizziness,ˈdɪzɪnəs,головокружение
do,,делать
doctor,ˈdɒktə,врач/доктор
dog,dɒg,собака
door,flɔː,дверь
down,daʊn,вниз
draw,,рисовать
draw (drew – drawn),tuː drɔː (druː – drɔːn,рисовать
dream,,мечта/сон
dress,dres,одевать(ся)
dress,dres,платье
drink,drɪŋk,напиток
drink (drank – drunk),drɪŋk/dræŋk/drʌŋk,пить
drive,,водить
driver,ˈdraɪvə,водитель
drizzle,ˈdrɪz(ə)l,морось
drop,,падать
drug,,лекарство/наркотик
dull,dʌl,тусклый
during,ˈdʊrɪŋ,во время/на протяжение
each,,каждый
ear,ɪə,ухо
early,ˈɜːrlɪ,ранний/рано/начальный
earrings,ˈɪərɪŋz,серьги
east,,восток
easy,ˈiːzɪ,простой/легко
easygoing,ˌiːzɪˈɡəʊɪŋ,с легким характером
eat (ate – eaten),iːt/et/ˈiːtən,есть
economic,,экономический
economy,,экономика
edge,,край
editor,ˈedɪtə,редактор
education,,образование
effect,,влиять
effort,,усилия
egg,æn eg,яйцо
eight,eɪt,восемь
eighteen,eɪˈtiːn,восемнадцать
eighty,ˈeɪtɪ,восемьдесят
either,,или
elbow,ˈelbəʊ,локоть
election,,выборы
electrician,ˌɪlekˈtrɪʃ(ə)n,электрик
elegant,ˈelɪɡ(ə)nt,элегантный
eleven,ɪˈlevn,одиннадцать
else,,другой
embroidery,ɪmˈbrɔɪdərɪ,вышивка
employee,,работник
empty,ˈemptɪ,пустой
end,,конец
energetic,ˌenəˈdʒetɪk,энергичный
energy,,энергия
engineer,endʒɪˈnɪə,инженер
enjoy,ɪnˈdʒɔɪ,наслаждаться
enough,ɪˈnʌf,достаточно
enroll,tuː ɪnˈrəʊl,зачислять
enter,,входить
entire,,целый
entrance,ˈentr(ə)ns,вход
environment,,окружающая среда
environmental,,экологический
envy,ˈenvɪ,зависть
especially,,особенно
establish,,установить
even,,даже
evening,ˈiːvnɪŋ,вечер
event,,событие
ever,,всегда
every,,каждый
everybody,,каждый
everyone,,все
everything,,все
evidence,,доказательства
exactly,,точно
exam,ən ɪɡˈzæm,экзамен
example,,пример
excuse me,ɪkˈskjuːz|miː,извините/разрешите
executive,,должностное лицо
exercise,ən ˈeksərsaɪz,упражнение
exit,ˈeksɪt,выход
expect,,ожидать
experience,,опыт
expert,,эксперт
explain,,объяснять
eye,aɪ,глаз
eyebrow,ˈaɪbraʊ,бровь
face,feɪs,лицо
fact,,факт
factor,,фактор
factory,ˈfækt(ə)rɪ,фабрика/завод
fail,,неудача
fair,feə,справедливый
fake,feɪk,поддельный
fall,,падать
family,,семья
far,,далекий
fast,fæst,быстрый
fat,fæt,тучный
father,ˈfɑːðə,отец
father-in-law,ˈfɑːðə ɪn lɔː,свекор/тесть
fear,fɪə,страх
federal,,федеральный
feed (fed – fed),fiːd/fed,кормить
feel,fiːl,чувствовать
feeling,,чувство
fellow,,человек
festival,ˈfestɪv(ə)l,праздник
fever,ˈfiːvə,жар
few,,несколько
few/a few/a little,fjuː,мало (с исчисляемыми существительными)
field,fiːld,поле
fifteen,fɪfˈtiːn,пятнадцать
fifth,fɪfθ,пятый
fifty,ˈfɪftɪ,пятьдесят
fight,,сражаться
figure,,фигура
fill,,заполнять
film,,фильм
film (AmE: a movie),ə fɪlm/ˈmuːvɪ,фильм
final,,финал
finally,,наконец
financial,,финансовый
find,,находить
find (found – found),faɪnd/faʊnd,находить
fine,faɪn,превосходный/утонченный/отлично
finger,ˈfɪŋɡə,палец на руке
finish,,заканчивать
fire,,огонь
firm,,фирма
first,fɜːrst,первый
first,,первый
fish,,рыба
fit,fɪt,соответствовать/подходить (о форме)
fit,fɪt,подходить по размеру/хорошо сидеть
fitness,ˈfɪtnɪs,фитнесс
five,faɪv,пять
flat,flæt,плоский
flat (AmE: an apartment),flæt,квартира
flight attendant,flaɪt/əˈtend(ə)nt,бoртпроводник
floor,flɔː,пол/этаж
flour,ˈflaʊə,мука
flower,ˈflaʊə,цветок
flu,fluː,грипп
fly,,летать
focus,,фокус
fog,fɒɡ,туман
foggy,ˈfɒɡɪ,туманный
food,,еда
foot (pl. feet),fʊt/fiːt,ступня
for,fɔːr,в течение определенного времени/для
force,,принуждать
force,,сила
forehead,ˈfɔːhed,лоб
foreign,,иностранный
forest,ˈfɒrɪst,лес
forget,,забывать
fork,fɔːk,вилка
form,,формировать
form,,форма
former,ˈfɔːrmər,бывший
forty,ˈfɔːtɪ,сорок
forward,,напрямую
four,fɔːr,четыре
fourteen,fɔːrˈtiːn,четырнадцать
fourth,fɔːrθ,четвертый
freckled,ˈfrekəld,веснушчатый
free,friː,свободный/бесплатный
fresh,freʃ,свежий
fridge,frɪdʒ,холодильник
fried,fraɪd,жареный в масле
friend,,друг
friendly,ˈfren(d)lɪ,дружелюбный
frog,frɒɡ,лягушка
from,frəm,из/с
frying pan,ˈfraɪɪŋ/pæn,сковородка
full,fʊl,полный
fun,fʌn,веселье
fund,,фонд
funny,ˈfʌnɪ,забавный
furniture,ˈfɜːnɪtʃə,мебель
future,,будущее
game,,игра
gardening,ˈgɑːdnɪŋ,садоводство
garlic,ˈgɑːlɪk,чеснок
general,,общий
generous,ˈdʒen(ə)rəs,щедрый
get,,получать
get (got – got),ɡet/ˈɡɒt,получать
girl,gɜːl,девочка
give,,давать
give (gave – given),ɡɪv/ɡeɪv/ˈɡɪv(ə)n,давать
glass,,стакан
glasses,ˈɡlɑːsɪz,очки
global warming,ˈɡləʊb(ə)l/ˈwɔːmɪŋ,глобальное потепление
gloves,ɡlʌvz,перчатки
go,,идти
goal,,цель
good,ɡʊd,хороший
government,,правительство
graceful,ˈɡreɪsfʊl,грациозный
graduate,ˈɡrædʒʊət,выпускник
grandfather,ˈɡræn(d)fɑːðə,дедушка
grandmother,ˈɡræn(d)mʌðə,бабушка
graphic novel,ˈɡræfɪk ˈnɑːvl,графический роман/комикс
grass,ɡrɑːs,трава
great,,великий
greedy,ˈɡriːdɪ,жадный
green,ɡriːn,зеленый
grief,ɡriːf,скорбь
ground,,земля
group,,группа
grow,,расти
growth,,рост
grеy,ɡreɪ,сeрый
guess,,догадываться
guest,ɡest,гость
gun,,оружие
guy,,парень
hail,heɪl,град
hair,heə,волосы
half,,половина
hall,hɔːl,коридор
hand,hænd,кисть руки/рука
hang,,вешать
happen,,случаться
happy,ˈhæpɪ,счастливый
hard,,тяжелый
hard,,сложный
hard-working,ˌhɑːdˈwɜːkɪŋ,трудолюбивый
hat,hæt,шляпа
have,,иметь
have (had – had),həv/həd,иметь
have fun,həv/fʌn,веселиться
have to,həv/tə,быть вынужденным сделать что-то
he,hiː,он
head,hed,голова/глава
health,,здоровье
healthy,ˈhelθɪ,здоровый
hear,hɪə,слышать
heart,hɑːt,сердце
heavy,ˈhevɪ,тяжелый
heel,hiːl,пятка
hello,həˈləʊ,здравствуйте
help,,помогать
help,,помощь
her,hɜː,ее/ей
here,hɪə,тут/сюда/здесь
herself,,сама
hi,haɪ,привет
hidden,ˈhɪdn,скрытый
high,haɪ,высокий
hill,hɪl,холм
him,,его
himself,,сам
his,,его
his/him,hɪz/hɪm,его/ему
history,,история
hit,,поражать(цель)
hold,,держать
hold (held – held),həʊld/held,держать
holiday (AmE: a vacation),ˈhɒlɪdeɪ/vəˈkeɪʃ(ə)n,каникулы/отпуск
home,,дом
home,,домой
honest,ˈɒnɪst,честный
honey,ˈhʌnɪ,мед
hope,həʊp,надеяться
horse,hɔːs,лошадь
hospital,ˈhɒspɪt(ə)l,больница
hot,hɒt,жаркий/горячий
hotel,ɑ həʊˈtel,отель
hotel,həʊˈtel,гостиница
hour,ən ˈaʊər,час
house,haʊz,дом
how,haʊ,как/каким образом
however,haʊˈevə,тем не менее/однако
huge,,огромный
human,,человек
humid,ˈhjuːmɪd,влажный
hundred,ˈhʌndrəd,сто
hurt,hɜːt,ранить/повреждать
husband,ˈhʌzbənd,муж
ice cream,aɪsˈkriːm,мороженое
idea,,идея
identify,,идентифицировать
if,ɪf,если
illegal,ɪˈliːɡl,незаконный
image,,изображение
imagine,,воображать
impact,,влияние
impatient,ɪmˈpeɪʃ(ə)nt,нетерпеливый
important,ɪmˈpɔːrtnt,важный
impossible,ɪmˈpɑːsəbl,невозможный
improve,,улучшать
in,ɪn,в
in front of,frʌnt,впереди
include,,включать
including,,включая
increase,,увеличивать
indeed,,действительно
indicate,,указывать на
indigestion,ɪndɪˈdʒestʃ(ə)n,несварение
individual,,индивидуальный
industry,,индустрия
information,,информация
inside,,внутри
instead,,вместо
institution,,учреждение
interest,,интерес
interesting,ˈɪnt(ə)rɪstɪŋ,интересный
international,,международный
intersection,ɪntəˈsekʃ(ə)n,перекресток
interview,,интервью
into,,внутри
invitation,ɪnvɪˈteɪʃ(ə)n,приглашение
invite,ˈɪnvaɪt,приглашать
involve,,включать
island,ˈaɪlənd,остров
issue,,проблема
it,ɪt,оно (о неодушевленных предметах и животных)/это
its,,этого
its/it,ɪts/ɪt,его/ее/ему/ей (о неодушевленном)
itself,,само
jacket,ˈdʒækɪt,пиджак/куртка
jam,ʤæm,варенье
jealous,ˈdʒeləs,ревнивый
job,,работа
join,,присоединяться
journalist,ˈdʒɜːn(ə)lɪst,журналист
journey,ɑ ˈʤɜːnɪ,путешествие
jug,dʒʌɡ,кувшин
juice,ʤuːs,сок
just,dʒʌst,только что/просто
keep,,хранить
keep (kept – kept),kiːp/kept,хранить/продолжать
kettle,ˈket(ə)l,чайник
kid,,ребенок
kill,kɪl,убивать
kind,kaɪnd,добрый/вид
kitchen,ˈkɪtʃɪn,кухня
knee,niː,колено
knife,naɪf,нож
knitting,ˈnɪtɪŋ,вязание
know,tuː nəʊ,знать
knowledge,,знания
lake,leɪk,озеро
land,,земля
language,,язык
large,,огромный
last,læst,прошлый/последний
late,leɪt,поздний
later,ˈleɪtər,позже/позднее
laugh,lɑːf,смеяться
law,,закон
lawyer,ˈlɔːjə,юрист
lay,,лежать
lazy,ˈleɪzɪ,ленивый
lead,,вести
leader,,лидер
leaf,liːf,лист
learn,,учить
least,,наименее
leave,,покидать
lecture,ˈlektʃər,лекция
left,left,левый/налево
leg,leɡ,нога
legal,ˈliːɡl,законный
less,les,меньше/меньший
lesson,ə ˈlesn,урок
let,,позволять
letter,ə ˈletər,буква/письмо
level,,уровень
lid,lɪd,крышка
lie,,лгать
life,,жизнь
lifeguard,ˈlaɪfɡɑːd,пляжный спасатель
light,laɪt,свeтлый/свет
lightning,ˈlaɪtnɪŋ,молния
like,laɪk,нравиться/как
likely,,вероятно
lily,ˈlɪlɪ,лилия
line,,линия
lion,ˈlaɪən,лев
lips,lɪps,губы
list,,список
listen,tuː ˈlɪsn,слушать
literature,ˈlɪtrətʃər,литература
little,ˈlɪtl,мало (с неисчисляемыми существительными)/маленький
live,lɪv,жить
living room,ˈlɪvɪŋ/ruːm,гостиная/зал
local,,местный
lonely,ˈləʊnlɪ,одинокий
long,lɔːŋ,длинный/долго
look,lʊk,выглядеть/смотреть/вид
lose,,терять
loss,,убыток
lot,,много
lot of,ə lɔt ɔv,много
love,lʌv,любить/любовь
low,ləʊ,низкий
lucky,ˈlʌkɪ,везучий
lunch,lʌnʧ,обед
magazine,,журнал
maiden name,ˈmeɪd(ə)n/neɪm,девичья фамилия
main,meɪn,главный
maintain,,поддерживать
major,,основной
make,,делать
make (made – made),tuː meɪk (meɪd – meɪd,делать/изготавливать
man,,человек/мужчина
man (pl. men),mæn,мужчина
manage,,управлять
manage,,справляться
manager,,менеджер
many,ˈmenɪ,много(исчисляемые существительные)/много
market,ˈmɑːkɪt,рынок
married,ˈmærɪd,женатый/замужняя
martial аrts,ˈmɑːʃəl а rts,боевые искусства
material,,материал
matter,,иметь значение
may,meɪ,иметь разрешение сделать что-то
maybe,ˈmeɪbiː,возможно/может быть
me,,мой
meal,ɑ miːl,прием пищи/еда
mean,,значит
measure,,мера
mechanic,mɪˈkænɪk,механик
media,,медиа
medical,,медицинский
meet,,встречать
meeting,,встреча
member,,участник
memory,,память
mention,,упоминать
menu,ˈmenjuː,меню
message,,сообщение
method,,метод
middle,,средний
midnight,ˈmɪdnaɪt,полночь
might,,может
military,,военный
milk,mɪlk,молоко
million,ˈmɪljən,миллион
mind,,разум
minute,ˈmɪnɪt,минута
mirror,ˈmɪrə,зеркало
miss,tuː mɪs,пропустить/опоздать/скучать
mistake,ə mɪˈsteɪk,ошибка
model,,модель
modern,ˈmɒd(ə)n,современный
mom,mɒm,мама
moment,,момент
money,,деньги
monkey,ˈmʌŋkɪ,обезьяна
month,mʌnθ,месяц
moody,ˈmuːdɪ,унылый
more,mɔːr,больше
morning,ˈmɔːrnɪŋ,утро
most,,большинство
mother,ˈmʌðə,мать
mother-in-law,ˈmʌðərɪnlɔː,свекровь/теща
mountain,ˈmaʊntɪn,гора
mouse (pl. mice),maʊs,мышь
mouth,maʊð,рот
move,,двигаться
movement,,движение
movie,,фильм
much,mʌtʃ,много (неисчисляемые существительные)/значительно
mushroom,ɑ ˈmʌʃrum,гриб
music,ˈmjuːzɪk,музыка
musician,mjuːˈzɪʃ(ə)n,музыкант
must,məst,должен/быть обязанным сделать что-то
mustache,ˈmʌstæʃ,усы
my,,мое
my/me,maɪ/miː,мой/мне
myself,,сам
n't,,не(сокр.)
nail,neɪl,ноготь
name,neɪm,имя/название
nanny,ˈnænɪ,няня
napkin,ˈnæpkɪn,салфетка
narrow,ˈnærəʊ,узкий
nation,,нация
national,,национальный
natural,,естественный
nature,,природа
near,,близко
nearly,,приблизительно
necessary,,важно
neck,nek,шея
necklace,ˈneklɪs,ожерелье
need,niːd,нуждаться/необходимость
neither … nor,ˈnaɪðə,ни… ни
nephew,ˈnefjuː,племянник
nervous,ˈnɜːvəs,нервный
network,,сеть
never,ˈnevər,никогда
new,nuː,новый
news,,новости
next,nekst,следующий
nice,naɪs,милый/отлично
niece,niːs,племянница
night,naɪt,ночь
nine,naɪn,девять
nineteen,naɪnˈtiːn,девятнадцать
ninety,ˈnaɪntɪ,девяносто
no,nəʊ,нет
noisy,ˈnɔɪzɪ,шумный
none,nʌn,нисколько
north,,север
nose,nəʊz,нос
not,nɒt,не
note,ə nəʊt,записка/запись/пометка/нота
notebook,ə ˈnəʊtbʊk,тетрадь
nothing,,ничего
novel,ˈnɑːvl,роман
now,naʊ,сейчас/теперь
number,,количество
nurse,nɜːs,медсестра
nut,ɑ nʌt,орех
nutritionist,njʊˈtrɪʃ(ə)nɪst,нутрициолог/диетолог
oak,əʊk,дуб
oatmeal,ˈəʊtmiːl,овсянка
obvious,ˈɑːbvɪəs,очевидный
occur,,происходить
of,,из/от/об
off,,от/с
off,,от/прочь
offer,,предлагать
office,,офис
officer,,офицер
official,,официальный
often,ˈɔːfn,часто
oh,,ох
oil,ɔɪl,масло
ok,,ок
old,əʊld,старый
on,ɒn,на/от
once,,однажды
one,wʌn,один
onion,æn ˈʌnjən,лук
only,,только
onto,,на
open,ˈəʊpən,открывать/открытый
operation,,операция
opportunity,,возможность
or,ɔː,или
orange,ˈɒrɪn(d)ʒ,оранжевый
order,ˈɔːdə,заказывать/приказ
organ,ˈɔːɡ(ə)n,орган
organization,,организация
other,,другой
other,,иной
others,,другие
our,,наше
our/us,'auə/ʌs,наш/нам
out,,из/вне
outside,,снаружи
outskirts,ˈaʊtskɜːts,окраина
oven,ˈʌvən,печь/духовка
over,,сверх
own,,личный
page,ə peɪdʒ,страница
pain,peɪn,боль
paint,tuː peɪnt,рисовать красками
pair,peə,пара
pale,peɪl,бледный
pan,pæn,кастрюля
paper,ˈpeɪpər,бумага
parent,,родитель
parents,ˈpeərənts,родители
park,pɑːk,парк
part,pɑːrt,часть
particular,,определенный
particularly,,особенно
partner,ˈpɑːtnə,партнер
party,ˈpɑːtɪ,вечеринка
pass,,проходить
passion,ˈpæʃ(ə)n,страсть
passport,ɑ ˈpɑːspɔːt,паспорт
past,,прошлое
patient,,пациент
pavement (AmE: a sidewalk),ˈpeɪvm(ə)nt/ˈsaɪdwɔːk,тротуар
pay,peɪ,платить
peace,,мир
peach,ɑ piːʧ,персик
pear,ɑ peə,груша
pen,ə pen,ручка
pencil,ə ˈpensl,карандаш
people,,люди
pepper,ˈpepə,перец
per,,за
perform,,выполнять
performance,,представление
perhaps,,возможно
period,,период
person,,человек
